loss_train,acc_train,loss_test,acc_test,time,epoch,run_id,optimizer
0.499272557792305,0.49,0.499747499163856,0.51,0.010523796081542969,1,W1_GD,GD
0.49927120065149433,0.49,0.49974796554133083,0.51,0.003607034683227539,1,W1_SGD,SGD
0.4969508087009564,0.59,0.4993269999123124,0.54,0.0028600692749023438,1,W1_Adam,Adam
0.4986367282669926,0.54,0.5002125353719982,0.5,0.0026407241821289062,1,W2_GD,GD
0.4986463214664712,0.52,0.5002375814091743,0.5,0.0022559165954589844,1,W2_SGD,SGD
0.4962708923241143,0.67,0.49959097584705575,0.51,0.002359628677368164,1,W2_Adam,Adam
0.4990693237129249,0.51,0.5002124346011185,0.49,0.002179861068725586,1,W3_GD,GD
0.49906717366692566,0.52,0.5001950357245076,0.48,0.0020914077758789062,1,W3_SGD,SGD
0.49671208499933867,0.68,0.499849252146064,0.49,0.0021271705627441406,1,W3_Adam,Adam
0.5009542214242673,0.51,0.5002549035658327,0.49,0.002092599868774414,1,W4_GD,GD
0.5009792642272977,0.51,0.5002869684093308,0.49,0.0020439624786376953,1,W4_SGD,SGD
0.4983391249802052,0.54,0.4994003697613568,0.51,0.002171754837036133,1,W4_Adam,Adam
0.4987336811265024,0.51,0.4991609723477079,0.49,0.003983974456787109,1,W5_GD,GD
0.49873420458672224,0.51,0.4991613414451694,0.49,0.002154111862182617,1,W5_SGD,SGD
0.4964222253393444,0.61,0.4991483819594976,0.56,0.0021715164184570312,1,W5_Adam,Adam
